epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
71,0.7508,0.7546,0.993,0.9903,0.4258,0.5558,0.4151,0.3759,0.5339,0.3753,0.3759,0.9994,0.2012,0.4733,0.4141,0.7394,0.4733,0.9939,0.1788,0.4283,0.3922,0.5529,0.396,0.9989,0.3179
72,0.7515,0.7565,0.9929,0.9901,0.418,0.5543,0.4108,0.3664,0.5352,0.3642,0.3664,0.9994,0.1955,0.4738,0.4006,0.7461,0.4738,0.9938,0.1747,0.4137,0.4006,0.5526,0.3922,0.9988,0.3023
73,0.7509,0.7537,0.993,0.9905,0.4318,0.56,0.4211,0.3742,0.5347,0.3769,0.3742,0.9995,0.1992,0.4878,0.4159,0.7636,0.4878,0.9939,0.1836,0.4335,0.4097,0.5394,0.4013,0.999,0.3216
74,0.7515,0.7564,0.993,0.9904,0.4386,0.5691,0.4278,0.3742,0.5583,0.3634,0.3742,0.9995,0.1983,0.4956,0.4096,0.7877,0.4956,0.9936,0.1856,0.4459,0.411,0.5561,0.4136,0.999,0.3267
75,0.7509,0.7564,0.9931,0.99,0.4353,0.5859,0.4282,0.3772,0.5423,0.3754,0.3772,0.9995,0.1991,0.4905,0.3972,0.8109,0.4905,0.993,0.1783,0.4383,0.406,0.5713,0.4168,0.9989,0.3226
76,0.7504,0.756,0.9932,0.9905,0.4313,0.5647,0.4205,0.3858,0.5332,0.3921,0.3858,0.9994,0.2021,0.4775,0.4124,0.736,0.4775,0.9941,0.1829,0.4305,0.3914,0.5659,0.3982,0.9988,0.3104
77,0.7508,0.7527,0.9931,0.9901,0.3952,0.5152,0.388,0.3452,0.5246,0.3346,0.3452,0.9994,0.1803,0.4448,0.412,0.6746,0.4448,0.9945,0.1746,0.3955,0.3851,0.5362,0.374,0.9988,0.2838
78,0.7507,0.751,0.993,0.9906,0.4348,0.5675,0.4276,0.3662,0.5491,0.3566,0.3662,0.9996,0.1961,0.5046,0.418,0.801,0.5046,0.9937,0.1905,0.4336,0.416,0.545,0.4121,0.9991,0.3334
79,0.7509,0.7569,0.9929,0.9901,0.431,0.5771,0.4203,0.3843,0.5437,0.3849,0.3843,0.9994,0.1987,0.4757,0.3938,0.7698,0.4757,0.9934,0.1724,0.4331,0.3882,0.5765,0.4008,0.9988,0.3082
80,0.7511,0.7561,0.9929,0.9907,0.4395,0.5721,0.4323,0.373,0.5595,0.3673,0.373,0.9995,0.2026,0.5038,0.4164,0.7964,0.5038,0.9937,0.1883,0.4418,0.4194,0.5525,0.4203,0.9992,0.3375
81,0.7505,0.7635,0.993,0.9902,0.4428,0.5916,0.4356,0.3901,0.5477,0.3832,0.3901,0.9994,0.2057,0.4997,0.4019,0.8193,0.4997,0.9931,0.1788,0.4386,0.4101,0.5723,0.417,0.9987,0.3353
82,0.7514,0.7508,0.9929,0.9905,0.4138,0.5371,0.4066,0.3378,0.5491,0.3233,0.3378,0.9996,0.1797,0.4821,0.428,0.7461,0.4821,0.9941,0.1807,0.4215,0.4097,0.5418,0.4,0.999,0.3046
83,0.7507,0.7617,0.993,0.9903,0.4354,0.5679,0.4247,0.3628,0.5532,0.3484,0.3628,0.9996,0.1969,0.4926,0.4003,0.7981,0.4926,0.9932,0.1773,0.4509,0.4231,0.5571,0.4186,0.999,0.3316
84,0.7509,0.7553,0.993,0.9902,0.432,0.5693,0.4248,0.3695,0.5512,0.3592,0.3695,0.9996,0.1975,0.4908,0.4,0.8044,0.4908,0.9932,0.1757,0.4357,0.4203,0.5443,0.4142,0.9991,0.3324
85,0.7511,0.7519,0.993,0.9904,0.4335,0.5699,0.4264,0.3698,0.5309,0.372,0.3698,0.9995,0.1981,0.4982,0.4126,0.8038,0.4982,0.9935,0.1833,0.4327,0.4258,0.5338,0.4112,0.9992,0.3327
86,0.7503,0.7518,0.993,0.9901,0.4138,0.5428,0.4031,0.3575,0.5229,0.3484,0.3575,0.9994,0.1803,0.4702,0.4171,0.7183,0.4702,0.9942,0.1799,0.4138,0.3745,0.5616,0.3816,0.9987,0.2821
87,0.7511,0.7546,0.9929,0.9906,0.426,0.5517,0.4188,0.3677,0.5467,0.3662,0.3677,0.9995,0.1971,0.4827,0.4181,0.7511,0.4827,0.9941,0.1816,0.4277,0.4257,0.5378,0.4062,0.9991,0.3203
88,0.7512,0.7571,0.9929,0.9903,0.4324,0.5709,0.4252,0.3688,0.5433,0.3637,0.3688,0.9995,0.1966,0.4873,0.3995,0.792,0.4873,0.9933,0.1741,0.4411,0.4217,0.5572,0.4196,0.999,0.3273
89,0.7511,0.7557,0.993,0.9903,0.4341,0.5653,0.4234,0.3669,0.5531,0.3544,0.3669,0.9996,0.1947,0.4918,0.4043,0.7909,0.4918,0.9934,0.1772,0.4437,0.4124,0.5507,0.4115,0.999,0.3265
90,0.7511,0.7539,0.993,0.9904,0.4418,0.5875,0.4346,0.3821,0.5602,0.3742,0.3821,0.9995,0.2003,0.4989,0.4068,0.8108,0.4989,0.9933,0.1853,0.4444,0.4088,0.5775,0.4229,0.999,0.3267
91,0.7511,0.7509,0.993,0.9905,0.4145,0.5355,0.4073,0.3495,0.5339,0.3462,0.3495,0.9995,0.1883,0.4799,0.4227,0.7328,0.4799,0.9943,0.1847,0.4139,0.4149,0.5277,0.3924,0.9991,0.3126
92,0.7511,0.7533,0.993,0.99,0.4289,0.5696,0.4181,0.3769,0.531,0.373,0.3769,0.9994,0.1953,0.4797,0.3999,0.7751,0.4797,0.9934,0.1743,0.43,0.3969,0.5609,0.3978,0.9989,0.3067
93,0.7517,0.7505,0.9929,0.9904,0.4235,0.5566,0.4199,0.3609,0.5372,0.3631,0.3609,0.9995,0.1991,0.4944,0.4156,0.7912,0.4944,0.9936,0.1802,0.4151,0.4296,0.5156,0.4044,0.9992,0.3311
94,0.7508,0.7573,0.993,0.9904,0.4375,0.5831,0.4303,0.385,0.5459,0.3821,0.385,0.9995,0.2013,0.4899,0.4004,0.7878,0.4899,0.9934,0.1784,0.4374,0.3996,0.5795,0.4159,0.9989,0.3238
95,0.7504,0.7555,0.993,0.9904,0.4396,0.5802,0.4289,0.3798,0.5486,0.3732,0.3798,0.9995,0.1976,0.4916,0.4031,0.7902,0.4916,0.9934,0.1797,0.4476,0.4004,0.5771,0.4153,0.9989,0.3189
96,0.7512,0.7598,0.993,0.9901,0.4326,0.5824,0.4219,0.3841,0.5674,0.376,0.3841,0.9995,0.1971,0.4777,0.3932,0.7759,0.4777,0.9933,0.1731,0.436,0.3798,0.5952,0.4037,0.9987,0.3071
97,0.7511,0.7567,0.993,0.99,0.4192,0.5513,0.412,0.3574,0.5454,0.3517,0.3574,0.9995,0.1955,0.4827,0.3991,0.7766,0.4827,0.9934,0.1734,0.4176,0.4134,0.5257,0.3961,0.999,0.3195
98,0.7503,0.7547,0.993,0.9906,0.4291,0.5572,0.4219,0.356,0.5577,0.3457,0.356,0.9996,0.1956,0.4979,0.4143,0.7885,0.4979,0.9937,0.1833,0.4335,0.4252,0.5373,0.412,0.9991,0.33
99,0.751,0.7544,0.993,0.9902,0.4222,0.5669,0.4151,0.3625,0.53,0.3584,0.3625,0.9995,0.1861,0.4852,0.3992,0.778,0.4852,0.9935,0.1743,0.419,0.3904,0.5643,0.3975,0.9988,0.2941
100,0.7503,0.7634,0.993,0.9902,0.4434,0.6059,0.4398,0.404,0.5519,0.4103,0.404,0.9993,0.2086,0.4955,0.3952,0.814,0.4955,0.993,0.1759,0.4307,0.3938,0.5935,0.42,0.9988,0.3296
101,0.7502,0.7533,0.9931,0.9905,0.4164,0.5387,0.4092,0.3504,0.5478,0.3339,0.3504,0.9995,0.1883,0.4802,0.4242,0.7329,0.4802,0.9943,0.1896,0.4187,0.3946,0.5493,0.3972,0.9989,0.3102
102,0.7507,0.7534,0.993,0.9902,0.4242,0.5602,0.4134,0.3592,0.5379,0.3494,0.3592,0.9995,0.1893,0.4816,0.4071,0.7807,0.4816,0.9934,0.1764,0.4318,0.4102,0.5505,0.3995,0.999,0.3077
103,0.75,0.755,0.9931,0.9906,0.4396,0.5696,0.4289,0.376,0.5452,0.3719,0.376,0.9995,0.1997,0.4939,0.4111,0.7853,0.4939,0.9937,0.18,0.4491,0.4226,0.5516,0.4169,0.9991,0.3268
104,0.7513,0.7582,0.993,0.9904,0.4346,0.5684,0.4274,0.3582,0.5707,0.3407,0.3582,0.9996,0.1963,0.501,0.4051,0.8181,0.501,0.9932,0.1815,0.4446,0.4313,0.5465,0.4231,0.9992,0.3459
105,0.7508,0.7621,0.993,0.9897,0.4382,0.6061,0.4311,0.3862,0.5653,0.389,0.3862,0.9994,0.2048,0.4864,0.3823,0.8326,0.4864,0.9924,0.1674,0.4421,0.3946,0.5966,0.4206,0.9987,0.3324
106,0.7506,0.7541,0.993,0.9903,0.4325,0.5731,0.4254,0.3725,0.5407,0.3647,0.3725,0.9995,0.1968,0.4956,0.407,0.796,0.4956,0.9934,0.1837,0.4295,0.398,0.5588,0.408,0.999,0.3237
107,0.7501,0.7627,0.9931,0.9902,0.4418,0.5915,0.4346,0.3991,0.5437,0.4075,0.3991,0.9994,0.2082,0.4842,0.3945,0.7829,0.4842,0.9932,0.1737,0.442,0.4017,0.5842,0.4205,0.9989,0.3304
