Epoch,Train Loss,Train Accuracy,Total Dice,Total Recall,Total F1 Score,WT Dice,WT Prec,WT Recall,WT F1,WT Spec,WT Boundary DICE,TC Dice,TC Prec,TC Recall,TC F1,TC Spec,TC Boundary DICE,ET Dice,ET Prec,ET Recall,ET F1,ET Spec,ET Boundary DICE,Val_Loss,Val_Acc
55,0.2396,0.9977,0.7652,0.7974,0.7652,0.6928,0.7194,0.7351,0.6928,0.9997,0.5038,0.8296,0.8252,0.8511,0.8296,0.9991,0.5695,0.7732,0.7675,0.8061,0.7732,0.9997,0.6482,0.6352,0.9544
56,0.2329,0.9977,0.7658,0.7968,0.7658,0.6935,0.722,0.7335,0.6935,0.9997,0.5042,0.8326,0.8264,0.8545,0.8326,0.9991,0.5781,0.7714,0.7713,0.8024,0.7714,0.9997,0.6498,0.6268,0.9707
57,0.2252,0.9977,0.771,0.7979,0.7698,0.6983,0.7368,0.7292,0.6983,0.9997,0.5099,0.8348,0.8263,0.8587,0.8348,0.9991,0.5761,0.7797,0.7732,0.8058,0.7763,0.9997,0.6565,0.6024,0.9648
58,0.2152,0.9978,0.7761,0.8029,0.7761,0.7087,0.7402,0.7423,0.7087,0.9998,0.5229,0.839,0.8314,0.8602,0.839,0.9992,0.585,0.7807,0.7797,0.8061,0.7807,0.9997,0.6641,0.5795,0.9796
59,0.2108,0.9978,0.7759,0.8019,0.7759,0.7093,0.7391,0.7419,0.7093,0.9998,0.5246,0.8361,0.8299,0.8576,0.8361,0.9992,0.585,0.7822,0.7845,0.8062,0.7822,0.9997,0.6683,0.5879,0.9582
60,0.2108,0.9977,0.77,0.797,0.77,0.7062,0.7421,0.7399,0.7062,0.9998,0.5237,0.8255,0.825,0.8458,0.8255,0.9992,0.5661,0.7784,0.7765,0.8053,0.7784,0.9997,0.6625,0.5563,0.9899
61,0.2001,0.9978,0.7805,0.8047,0.7805,0.7147,0.7495,0.7438,0.7147,0.9998,0.5378,0.8414,0.8357,0.8602,0.8414,0.9992,0.5916,0.7854,0.7839,0.8103,0.7854,0.9997,0.6739,0.5655,0.9869
62,0.1956,0.9978,0.7838,0.8048,0.7838,0.7215,0.7552,0.7437,0.7215,0.9998,0.5411,0.8412,0.8343,0.8604,0.8412,0.9992,0.5885,0.7887,0.7903,0.8104,0.7887,0.9997,0.6775,0.5578,0.9655
63,0.1933,0.9978,0.7834,0.8045,0.7834,0.7212,0.7584,0.7458,0.7212,0.9998,0.5413,0.8397,0.8356,0.8586,0.8397,0.9992,0.584,0.7894,0.7904,0.809,0.7894,0.9997,0.68,0.5468,0.9815
64,0.1873,0.9979,0.7896,0.8086,0.7885,0.7245,0.7582,0.7469,0.7245,0.9998,0.5495,0.8462,0.8398,0.8649,0.8462,0.9992,0.6,0.7981,0.7946,0.8139,0.7947,0.9997,0.6876,0.5036,0.9881
65,0.1853,0.9979,0.7896,0.8074,0.7896,0.7253,0.7646,0.74,0.7253,0.9998,0.5478,0.8506,0.8427,0.8683,0.8506,0.9992,0.6075,0.7928,0.793,0.814,0.7928,0.9997,0.6834,0.5619,0.9557
66,0.1815,0.9979,0.7915,0.8084,0.7915,0.7307,0.767,0.7471,0.7307,0.9998,0.5551,0.8484,0.8419,0.8655,0.8484,0.9992,0.6031,0.7955,0.7975,0.8127,0.7955,0.9997,0.6898,0.5865,0.9403
67,0.1775,0.998,0.7941,0.8109,0.7941,0.7325,0.767,0.7531,0.7325,0.9998,0.5578,0.8529,0.8507,0.8647,0.8529,0.9993,0.6135,0.797,0.7975,0.8151,0.797,0.9997,0.6914,0.5126,0.9739
68,0.1753,0.998,0.7957,0.8123,0.7957,0.7355,0.7721,0.7491,0.7355,0.9998,0.5649,0.8537,0.8461,0.871,0.8537,0.9992,0.6121,0.7979,0.799,0.8168,0.7979,0.9997,0.6939,0.4961,0.9882
69,0.1724,0.998,0.7982,0.8127,0.7982,0.7391,0.7768,0.7505,0.7391,0.9998,0.5696,0.8541,0.8482,0.8688,0.8541,0.9992,0.6156,0.8015,0.8019,0.8186,0.8015,0.9997,0.7008,0.526,0.9756
70,0.1736,0.998,0.7939,0.8098,0.7939,0.733,0.7718,0.7493,0.733,0.9998,0.5631,0.8494,0.8456,0.8631,0.8494,0.9992,0.6082,0.7993,0.7995,0.817,0.7993,0.9997,0.6981,0.5342,0.9722
71,0.1704,0.998,0.7985,0.8108,0.7973,0.7389,0.7816,0.7476,0.7389,0.9998,0.572,0.851,0.8457,0.8664,0.851,0.9992,0.6102,0.8055,0.802,0.8183,0.8021,0.9997,0.7025,0.5168,0.9828
72,0.1679,0.998,0.7995,0.8156,0.7995,0.7425,0.776,0.7573,0.7425,0.9998,0.5735,0.8541,0.8453,0.8716,0.8541,0.9992,0.6146,0.8018,0.8046,0.8177,0.8018,0.9997,0.7035,0.4707,0.9861
73,0.1677,0.998,0.7991,0.8126,0.7991,0.7416,0.7865,0.7512,0.7416,0.9998,0.5721,0.8539,0.8497,0.8681,0.8539,0.9993,0.6151,0.8017,0.8031,0.8184,0.8017,0.9997,0.7019,0.4718,0.987
74,0.1629,0.998,0.8039,0.8148,0.8039,0.7486,0.7891,0.7548,0.7486,0.9998,0.5814,0.8584,0.8546,0.869,0.8584,0.9993,0.6228,0.8047,0.8065,0.8206,0.8047,0.9997,0.7044,0.4608,0.9877
75,0.1597,0.9981,0.8079,0.8168,0.8079,0.7526,0.7935,0.7547,0.7526,0.9998,0.5893,0.8614,0.8559,0.8735,0.8614,0.9993,0.6296,0.8096,0.8102,0.8223,0.8096,0.9997,0.716,0.4911,0.9877
76,0.1574,0.9981,0.8093,0.82,0.8093,0.7536,0.7914,0.7615,0.7536,0.9998,0.5919,0.862,0.856,0.8744,0.862,0.9993,0.6305,0.8124,0.8126,0.8242,0.8124,0.9997,0.7215,0.5127,0.972
