epoch,train_loss,val_loss,dice_wt,dice_tc,dice_et,dice_total,precision_wt,precision_tc,precision_et,precision_total,recall_wt,recall_tc,recall_et,recall_total,f1_wt,f1_tc,f1_et,f1_total,specificity_wt,specificity_tc,specificity_et,train_accuracy,boundary_dice_wt,boundary_dice_tc,boundary_dice_et,Val_Accuracy
69,0.158906542,0.447777358,0.316788304,0.374583625,0.29449196,0.328621296,0.228401371,0.275377011,0.188826668,0.23086835,0.516767297,0.585522433,0.668675031,0.590321587,0.316788304,0.374583625,0.29449196,0.328621296,0.995214759,0.989671433,0.994461249,0.997869589,0.11966392,0.106826925,0.088168821,0.9954
70,0.158900883,0.45522733,0.294396798,0.37640126,0.207049469,0.292615842,0.202696044,0.311350369,0.120042687,0.211363033,0.537618006,0.47581372,0.752356413,0.588596046,0.294396798,0.37640126,0.207049469,0.292615842,0.994203465,0.992944984,0.989366018,0.997864013,0.144560301,0.11533605,0.130359126,0.9954
71,0.158891712,0.433898624,0.340203767,0.36456018,0.316753754,0.340505901,0.24678093,0.262169525,0.206399404,0.238449953,0.547449436,0.598180282,0.680699148,0.608776289,0.340203767,0.36456018,0.316753754,0.340505901,0.995419955,0.988714558,0.994953444,0.997941528,0.161095844,0.104712135,0.191085384,0.9954
72,0.158883274,0.44588578,0.296752547,0.365274199,0.262663,0.308229916,0.200271036,0.279938571,0.160351211,0.213520273,0.572610199,0.525451136,0.725684856,0.607915397,0.296752547,0.365274199,0.262663,0.308229916,0.993732422,0.990939519,0.992673107,0.997945244,0.136691934,0.132464941,0.115102283,0.9954
73,0.158867856,0.422204796,0.374737715,0.494063663,0.406709416,0.425170265,0.311844461,0.422468113,0.298114524,0.344142366,0.469408774,0.594877359,0.639754219,0.56801345,0.374737715,0.494063663,0.406709416,0.425170265,0.99716067,0.99454843,0.997095692,0.997996518,0.215626687,0.207118637,0.24802114,0.9954
74,0.158865385,0.45730426,0.210625285,0.274170933,0.205258115,0.230018111,0.126844119,0.182125973,0.119343903,0.142771332,0.620407496,0.554319434,0.732770919,0.635832616,0.210625285,0.274170944,0.205258115,0.230018115,0.988293839,0.983312674,0.989573928,0.997965509,0.106228706,0.08662619,0.074837694,0.9954
75,0.158861938,0.444921792,0.301241062,0.367228175,0.249390614,0.305953284,0.206147762,0.284039801,0.150337721,0.213508428,0.55918663,0.519326246,0.731070336,0.603194404,0.301241062,0.367228175,0.249390614,0.305953284,0.994097529,0.991224698,0.9920332,0.998006082,0.149897674,0.133678078,0.138916314,0.9954
76,0.158860299,0.422547023,0.382964035,0.498519525,0.353130797,0.411538119,0.3030301,0.486709185,0.237538693,0.342425993,0.520177609,0.510917291,0.687860389,0.572985096,0.382964035,0.498519525,0.353130797,0.411538119,0.996720588,0.996387926,0.99574274,0.997769563,0.085767265,0.067316328,0.068774269,0.9954
77,0.158858607,0.450656246,0.262159159,0.325056112,0.268146662,0.285120645,0.165234115,0.243027076,0.164604734,0.190955308,0.634141792,0.490673284,0.72283297,0.615882682,0.262159159,0.325056112,0.268146662,0.285120645,0.991218527,0.98975457,0.992926505,0.997965587,0.081812219,0.079853283,0.069520483,0.9954
78,0.158856022,0.461943373,0.26785019,0.367092614,0.223059067,0.286000624,0.17615898,0.293547591,0.1318644,0.200523657,0.558606151,0.489808612,0.723229469,0.590548078,0.26785019,0.367092614,0.223059067,0.286000624,0.99283922,0.992097893,0.990819158,0.998030336,0.148002856,0.12006181,0.122477828,0.9954
79,0.158854503,0.441421591,0.295642729,0.3633015,0.278963015,0.312635748,0.194105252,0.281981086,0.171961851,0.216016063,0.619932869,0.510534278,0.738461958,0.622976368,0.295642729,0.3633015,0.278963015,0.312635748,0.992944924,0.99128529,0.993143654,0.998071593,0.079464111,0.072569913,0.056257707,0.9954
80,0.15884932,0.434747951,0.351695033,0.453371191,0.383532197,0.396199474,0.279852804,0.35537739,0.278598626,0.304609607,0.473162678,0.625983466,0.615273715,0.571473286,0.351695033,0.453371191,0.383532197,0.396199474,0.996662524,0.992388141,0.99692806,0.998059976,0.167094915,0.112479921,0.146260775,0.9954
81,0.158848893,0.442447611,0.318257829,0.414184893,0.251302015,0.327914912,0.220764651,0.372222076,0.150837573,0.247941433,0.569962192,0.466811322,0.752500099,0.596424537,0.318257829,0.414184893,0.251302015,0.327914912,0.994485563,0.994722146,0.991831653,0.998071382,0.144229527,0.106006375,0.128520825,0.9954
82,0.158847931,0.434795804,0.353109719,0.431191558,0.324513421,0.369604899,0.296866143,0.332421879,0.214611833,0.281299951,0.435646256,0.613465261,0.665115631,0.571409049,0.353109719,0.431191558,0.324513421,0.369604899,0.997171688,0.991741245,0.995306744,0.998085967,0.176625028,0.1341928,0.159124515,0.9954
83,0.158847449,0.42963822,0.361246626,0.440082908,0.362981059,0.388103531,0.279092019,0.361745747,0.252556574,0.297798113,0.511944629,0.561726526,0.644986313,0.572885823,0.361246626,0.440082908,0.362981059,0.388103531,0.996375305,0.993356035,0.996319418,0.998088507,0.163032913,0.119341896,0.13496925,0.9954
84,0.15884659,0.451686729,0.252678119,0.308182697,0.191810225,0.250890347,0.162355924,0.215252403,0.109892971,0.162500433,0.569508053,0.542314601,0.753460427,0.621761027,0.252678119,0.308182697,0.191810225,0.250890347,0.991946081,0.986746048,0.988232637,0.998099782,0.118531825,0.097292439,0.086215293,0.9954
