epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
52,0.7098,0.72,0.9904,0.9678,0.3226,0.5868,0.3226,0.4707,0.4603,0.5801,0.4707,0.9991,0.2925,0.5502,0.4277,0.9036,0.5502,0.9928,0.1883,0.6417,0.5758,0.83,0.6417,0.9988,0.4366
53,0.7023,0.7222,0.9913,0.9816,0.4026,0.6615,0.4026,0.4891,0.4957,0.5717,0.4891,0.9992,0.3076,0.5695,0.4488,0.9036,0.5695,0.9934,0.2006,0.6565,0.5885,0.843,0.6565,0.9988,0.4447
54,0.6981,0.7317,0.9909,0.9751,0.3449,0.6224,0.3449,0.4743,0.4673,0.5765,0.4743,0.9992,0.2948,0.5549,0.4362,0.8912,0.5549,0.9932,0.1947,0.6366,0.5682,0.8251,0.6366,0.9987,0.4295
55,0.6931,0.7572,0.9892,0.9668,0.3044,0.5932,0.3044,0.4439,0.4301,0.5505,0.4439,0.9988,0.28,0.5505,0.44,0.8835,0.5505,0.9924,0.1995,0.5996,0.5457,0.8013,0.5996,0.9983,0.4147
56,0.6838,0.7489,0.9914,0.9906,0.4283,0.5671,0.4247,0.4902,0.499,0.5732,0.4902,0.9992,0.3153,0.5702,0.4531,0.8913,0.5702,0.9937,0.2093,0.6449,0.5839,0.8348,0.6449,0.9988,0.4425
57,0.6768,0.6888,0.991,0.9821,0.3767,0.6098,0.3767,0.4646,0.4532,0.5859,0.4646,0.9989,0.2996,0.5771,0.464,0.8965,0.5771,0.9937,0.2131,0.6348,0.5748,0.8239,0.6348,0.9986,0.4466
58,0.6757,0.681,0.9913,0.9904,0.4378,0.6041,0.4342,0.5145,0.551,0.5618,0.5145,0.9994,0.3278,0.5662,0.4523,0.8925,0.5662,0.9935,0.2072,0.6373,0.5792,0.8196,0.6373,0.9986,0.4344
59,0.6647,0.6859,0.9923,0.9801,0.3649,0.5726,0.3649,0.4984,0.4967,0.5848,0.4984,0.9993,0.3201,0.597,0.4815,0.8964,0.597,0.9944,0.2319,0.6562,0.5899,0.8327,0.6562,0.9989,0.4582
60,0.6557,0.6799,0.9921,0.9824,0.3903,0.6457,0.3903,0.4933,0.4893,0.5798,0.4933,0.9992,0.3223,0.5955,0.4853,0.8947,0.5955,0.9944,0.2342,0.6549,0.6002,0.8186,0.6549,0.9989,0.4654
61,0.6457,0.6992,0.992,0.9833,0.403,0.581,0.403,0.5078,0.5287,0.573,0.5078,0.9993,0.3339,0.5998,0.4941,0.8967,0.5998,0.9943,0.2433,0.6432,0.5868,0.8249,0.6432,0.9987,0.4593
62,0.6433,0.6518,0.993,0.9863,0.42,0.5862,0.42,0.5235,0.5719,0.554,0.5235,0.9995,0.3496,0.6153,0.5074,0.8896,0.6153,0.995,0.2515,0.6594,0.6023,0.8236,0.6594,0.9989,0.4595
63,0.6363,0.6842,0.9928,0.9844,0.3709,0.6229,0.3709,0.5116,0.5508,0.563,0.5116,0.9994,0.3371,0.6069,0.498,0.8965,0.6069,0.9947,0.24,0.6506,0.6291,0.7725,0.6506,0.9991,0.4722
64,0.6278,0.6985,0.9925,0.975,0.332,0.6272,0.332,0.4963,0.5299,0.5636,0.4963,0.9992,0.334,0.5984,0.4982,0.8847,0.5984,0.9947,0.2468,0.6516,0.6124,0.7911,0.6516,0.999,0.472
65,0.6141,0.6314,0.9925,0.9855,0.4202,0.607,0.4202,0.5342,0.5521,0.5929,0.5342,0.9994,0.3602,0.6048,0.5048,0.8846,0.6048,0.9947,0.2589,0.6577,0.6057,0.8288,0.6577,0.9989,0.4767
66,0.6076,0.6884,0.9935,0.9841,0.4052,0.6303,0.4052,0.5521,0.6002,0.577,0.5521,0.9995,0.3755,0.6271,0.5222,0.9007,0.6271,0.9953,0.2687,0.6801,0.629,0.8278,0.6801,0.9991,0.4915
67,0.6024,0.6337,0.9939,0.9817,0.4032,0.6389,0.4032,0.5482,0.6034,0.5776,0.5482,0.9996,0.3802,0.6345,0.5425,0.8821,0.6345,0.9956,0.2848,0.6894,0.6391,0.8275,0.6894,0.9991,0.5017
68,0.5925,0.6092,0.9936,0.9886,0.4696,0.6503,0.466,0.5541,0.5697,0.6115,0.5541,0.9995,0.3791,0.6337,0.5399,0.8917,0.6337,0.9956,0.2809,0.6661,0.6184,0.8186,0.6661,0.999,0.4927
69,0.5768,0.6872,0.9945,0.9864,0.4198,0.6402,0.4198,0.5569,0.5877,0.6108,0.5569,0.9996,0.3868,0.6568,0.5623,0.8914,0.6568,0.9962,0.2988,0.6975,0.6497,0.8229,0.6975,0.9993,0.5243
70,0.5784,0.6609,0.9928,0.9912,0.4636,0.5962,0.46,0.5348,0.5648,0.6014,0.5348,0.9993,0.3669,0.6285,0.5352,0.8878,0.6285,0.9951,0.2889,0.6603,0.6152,0.8154,0.6603,0.9988,0.4865
71,0.5764,0.673,0.994,0.96,0.2916,0.5751,0.2916,0.5457,0.5738,0.6049,0.5457,0.9994,0.3718,0.6376,0.5552,0.8663,0.6376,0.9959,0.2943,0.6776,0.6751,0.7694,0.6776,0.9992,0.5104
72,0.5612,0.5656,0.9939,0.9883,0.4334,0.6021,0.4334,0.5384,0.5712,0.5907,0.5384,0.9994,0.3626,0.64,0.5519,0.877,0.64,0.9959,0.2904,0.6608,0.6445,0.7723,0.6608,0.9991,0.4889
73,0.5541,0.6581,0.9944,0.991,0.4371,0.5875,0.4371,0.5549,0.5812,0.6119,0.5549,0.9995,0.3904,0.6472,0.5603,0.8694,0.6472,0.9962,0.3007,0.6858,0.6605,0.7956,0.6858,0.9993,0.5229
74,0.5429,0.613,0.994,0.9905,0.4441,0.5741,0.4441,0.5667,0.6174,0.6235,0.5667,0.9995,0.3856,0.6489,0.568,0.8691,0.6489,0.996,0.3121,0.6644,0.6431,0.7805,0.6644,0.9991,0.5002
75,0.5352,0.6373,0.9948,0.9887,0.4302,0.5965,0.4302,0.5785,0.6145,0.6257,0.5785,0.9996,0.4122,0.6599,0.5766,0.8701,0.6599,0.9965,0.3069,0.6986,0.6668,0.8017,0.6986,0.9993,0.5336
76,0.5381,0.6167,0.9939,0.9805,0.3666,0.5956,0.3666,0.5466,0.5789,0.6213,0.5466,0.9993,0.3818,0.646,0.5797,0.8502,0.646,0.9961,0.3113,0.6643,0.6657,0.7687,0.6643,0.9991,0.5047
77,0.5239,0.5612,0.9946,0.9862,0.4278,0.6172,0.4278,0.568,0.5931,0.6293,0.568,0.9995,0.4048,0.6574,0.5773,0.8623,0.6574,0.9965,0.3218,0.702,0.6788,0.7928,0.702,0.9994,0.5495
78,0.5121,0.5761,0.995,0.9906,0.4568,0.6012,0.4568,0.5897,0.599,0.6581,0.5897,0.9995,0.4135,0.6766,0.599,0.8724,0.6766,0.9967,0.3413,0.7047,0.6859,0.7877,0.7047,0.9994,0.5574
79,0.5082,0.5747,0.995,0.9905,0.4658,0.5981,0.4623,0.5831,0.612,0.6395,0.5831,0.9995,0.4153,0.6769,0.5947,0.8705,0.6769,0.9967,0.3248,0.6977,0.6722,0.7893,0.6977,0.9993,0.5471
80,0.5026,0.6516,0.9954,0.98,0.3553,0.6298,0.3553,0.5922,0.6189,0.6366,0.5922,0.9996,0.4288,0.6878,0.611,0.8646,0.6878,0.9971,0.3524,0.6968,0.684,0.7798,0.6968,0.9994,0.5525
