epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
79,0.8155,0.8069,0.9856,0.9816,0.3347,0.5816,0.3347,0.4005,0.5257,0.4244,0.4005,0.9992,0.196,0.4283,0.3143,0.7792,0.4283,0.9908,0.1208,0.1752,0.1165,0.541,0.1752,0.9928,0.105
80,0.8156,0.8063,0.9857,0.9809,0.3325,0.5852,0.3325,0.406,0.5202,0.4502,0.406,0.999,0.1942,0.4201,0.3048,0.7869,0.4201,0.99,0.1161,0.1713,0.1145,0.5185,0.1713,0.9929,0.1062
81,0.8155,0.8077,0.9855,0.9828,0.3419,0.5864,0.3419,0.4048,0.5193,0.4452,0.4048,0.9991,0.1994,0.4433,0.3312,0.7743,0.4433,0.9917,0.1287,0.1776,0.1182,0.5397,0.1776,0.9932,0.108
82,0.8155,0.8103,0.9855,0.9833,0.346,0.5902,0.346,0.4049,0.5312,0.4445,0.4049,0.9991,0.2003,0.4554,0.3408,0.7917,0.4554,0.9919,0.1315,0.1777,0.1184,0.5343,0.1777,0.9934,0.109
83,0.8155,0.8086,0.9856,0.9827,0.3396,0.5843,0.3396,0.4025,0.5,0.4521,0.4025,0.9991,0.1953,0.4404,0.332,0.7568,0.4404,0.9919,0.1306,0.176,0.1166,0.544,0.176,0.9929,0.106
84,0.8155,0.8068,0.9857,0.9807,0.333,0.5913,0.333,0.4079,0.5324,0.4579,0.4079,0.9989,0.1946,0.4198,0.3013,0.8076,0.4198,0.9893,0.1146,0.1712,0.1149,0.5083,0.1712,0.9931,0.1075
85,0.8154,0.8053,0.9856,0.9802,0.3269,0.5756,0.3269,0.3992,0.5078,0.4429,0.3992,0.9991,0.1899,0.412,0.3021,0.7562,0.412,0.9902,0.1166,0.1695,0.1129,0.5276,0.1695,0.992,0.1038
86,0.8155,0.8075,0.9856,0.9822,0.3396,0.5877,0.3396,0.4056,0.5365,0.4424,0.4056,0.9991,0.1986,0.4379,0.3215,0.7935,0.4379,0.9909,0.1229,0.1752,0.1169,0.5273,0.1752,0.9932,0.1071
87,0.8155,0.8072,0.9857,0.981,0.3331,0.5875,0.3331,0.4071,0.5263,0.4641,0.4071,0.9989,0.1908,0.4243,0.3053,0.8141,0.4243,0.9893,0.1144,0.1681,0.1135,0.4842,0.1681,0.9935,0.1077
88,0.8156,0.8069,0.9857,0.9814,0.3359,0.5915,0.3359,0.4112,0.5214,0.4694,0.4112,0.9989,0.1937,0.4242,0.3076,0.7952,0.4242,0.99,0.1177,0.1723,0.1155,0.5101,0.1723,0.9933,0.1084
89,0.8156,0.8076,0.9856,0.9804,0.3299,0.5894,0.3299,0.4076,0.512,0.4732,0.4076,0.9988,0.1863,0.416,0.2969,0.8204,0.416,0.9886,0.1094,0.1663,0.1125,0.4746,0.1663,0.9936,0.1074
90,0.8155,0.8064,0.9855,0.9817,0.3405,0.5991,0.3405,0.4203,0.5328,0.4703,0.4203,0.999,0.2025,0.4255,0.3081,0.7989,0.4255,0.9903,0.1175,0.1757,0.1173,0.5281,0.1757,0.9932,0.1089
91,0.8155,0.8075,0.9857,0.9802,0.3311,0.5847,0.3311,0.4107,0.5114,0.4585,0.4107,0.999,0.1963,0.4098,0.2988,0.7617,0.4098,0.99,0.1164,0.1729,0.1153,0.534,0.1729,0.9922,0.1055
92,0.8155,0.8079,0.9857,0.9812,0.3373,0.5978,0.3373,0.4227,0.4997,0.5024,0.4227,0.9987,0.1918,0.4205,0.3044,0.7942,0.4205,0.9899,0.1162,0.1685,0.113,0.4968,0.1685,0.9933,0.1069
93,0.8155,0.8098,0.9856,0.9834,0.3433,0.5862,0.3433,0.3958,0.5318,0.4323,0.3958,0.9992,0.1967,0.4577,0.3413,0.8015,0.4577,0.9917,0.1294,0.1765,0.118,0.5248,0.1765,0.9935,0.1087
94,0.8155,0.8082,0.9857,0.9799,0.3221,0.574,0.3221,0.3911,0.5046,0.4251,0.3911,0.9991,0.1867,0.403,0.293,0.761,0.403,0.9897,0.1123,0.1723,0.1149,0.5358,0.1723,0.9922,0.1045
95,0.8155,0.808,0.9856,0.982,0.3408,0.5967,0.3408,0.4188,0.5112,0.487,0.4188,0.9988,0.1971,0.4309,0.3167,0.7814,0.4309,0.9908,0.123,0.1727,0.1149,0.5217,0.1727,0.9931,0.1066
96,0.8155,0.8084,0.9857,0.9811,0.3327,0.5888,0.3327,0.4025,0.5238,0.4515,0.4025,0.999,0.1911,0.4256,0.3064,0.8132,0.4256,0.9895,0.1141,0.1702,0.1143,0.5017,0.1702,0.9933,0.1068
97,0.8155,0.8081,0.9856,0.9826,0.3442,0.5921,0.3442,0.4105,0.5355,0.4378,0.4105,0.9992,0.2043,0.4419,0.3272,0.7833,0.4419,0.9914,0.1277,0.1801,0.1192,0.5552,0.1801,0.9931,0.1062
98,0.8154,0.8062,0.9856,0.9808,0.3316,0.5884,0.3316,0.406,0.5293,0.4497,0.406,0.9991,0.1954,0.4167,0.2995,0.7998,0.4167,0.9895,0.1123,0.1719,0.1152,0.5159,0.1719,0.993,0.1076
99,0.8154,0.8054,0.9856,0.9781,0.3198,0.5818,0.3198,0.3972,0.5157,0.4356,0.3972,0.9991,0.1883,0.3924,0.279,0.7844,0.3924,0.9881,0.1057,0.1699,0.1136,0.5255,0.1699,0.9918,0.105
100,0.8155,0.8069,0.9856,0.9816,0.3346,0.5868,0.3346,0.4032,0.5312,0.4496,0.4032,0.9991,0.1935,0.4287,0.3106,0.8054,0.4287,0.99,0.1166,0.172,0.1155,0.5056,0.172,0.9934,0.1084
101,0.8155,0.807,0.9856,0.978,0.3229,0.5932,0.3229,0.4115,0.5046,0.4763,0.4115,0.9988,0.191,0.3891,0.2759,0.7832,0.3891,0.988,0.1056,0.1681,0.1121,0.5202,0.1681,0.9919,0.1052
102,0.8155,0.8063,0.9856,0.9827,0.3387,0.5862,0.3387,0.3979,0.5379,0.4394,0.3979,0.9991,0.1957,0.4435,0.3275,0.7972,0.4435,0.9912,0.1241,0.1746,0.1167,0.522,0.1746,0.9934,0.1081
