epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
65,0.6985,0.7074,0.9927,0.9901,0.4549,0.6013,0.4477,0.3164,0.3411,0.3969,0.3164,0.998,0.1815,0.5616,0.4564,0.8431,0.5616,0.9939,0.2473,0.4866,0.4751,0.5638,0.4651,0.999,0.3912
66,0.6983,0.707,0.9927,0.99,0.4589,0.6007,0.4517,0.3327,0.367,0.4201,0.3327,0.9981,0.1856,0.5539,0.4458,0.8475,0.5539,0.9934,0.2371,0.4901,0.5082,0.5346,0.4686,0.9992,0.4016
67,0.6983,0.7077,0.9927,0.99,0.455,0.6095,0.4478,0.322,0.3319,0.427,0.322,0.9976,0.1812,0.5593,0.4601,0.8236,0.5593,0.9943,0.2509,0.4836,0.4604,0.5779,0.4621,0.9988,0.3885
68,0.6983,0.7078,0.9927,0.9897,0.4509,0.6029,0.4438,0.3196,0.3453,0.4007,0.3196,0.9979,0.1812,0.5513,0.4494,0.8293,0.5513,0.9938,0.2404,0.4819,0.4576,0.5786,0.4604,0.9987,0.3855
69,0.6982,0.7077,0.9927,0.99,0.4515,0.6035,0.4443,0.318,0.3405,0.3994,0.318,0.9979,0.179,0.5594,0.4596,0.8255,0.5594,0.9942,0.2533,0.477,0.4445,0.5858,0.4555,0.9986,0.3771
70,0.6982,0.7077,0.9928,0.9905,0.457,0.6085,0.4498,0.3225,0.3458,0.4102,0.3225,0.9978,0.1839,0.5703,0.4723,0.8256,0.5703,0.9946,0.2589,0.4782,0.4429,0.5897,0.4567,0.9988,0.3797
71,0.698,0.7082,0.9928,0.9897,0.4462,0.6001,0.4426,0.3291,0.3561,0.4081,0.3291,0.998,0.1807,0.5454,0.4512,0.8067,0.5454,0.9939,0.2463,0.4642,0.4434,0.5854,0.4535,0.9985,0.372
72,0.6981,0.7098,0.9927,0.9875,0.4279,0.6016,0.4243,0.3308,0.3523,0.4256,0.3308,0.9977,0.176,0.5037,0.4086,0.7911,0.5037,0.9925,0.2138,0.4491,0.428,0.5883,0.4384,0.9979,0.3606
73,0.698,0.7083,0.9927,0.9896,0.4479,0.6017,0.4407,0.3096,0.3209,0.4092,0.3096,0.9974,0.1731,0.5546,0.4585,0.8175,0.5546,0.9942,0.2487,0.4795,0.4554,0.5784,0.458,0.9987,0.3814
74,0.698,0.7076,0.9928,0.9904,0.4517,0.6024,0.4446,0.3221,0.3454,0.4007,0.3221,0.9979,0.181,0.5617,0.4712,0.8013,0.5617,0.9949,0.2571,0.4713,0.4255,0.6051,0.4498,0.9984,0.3638
75,0.6982,0.7074,0.9927,0.9891,0.4477,0.606,0.4442,0.3362,0.3651,0.4199,0.3362,0.998,0.1848,0.5363,0.433,0.831,0.5363,0.9929,0.2315,0.4707,0.4695,0.5671,0.46,0.9988,0.3871
76,0.6979,0.7069,0.9927,0.9897,0.4521,0.6055,0.4449,0.3216,0.3409,0.4154,0.3216,0.9978,0.1815,0.5482,0.4436,0.8335,0.5482,0.9937,0.2348,0.4865,0.4705,0.5677,0.465,0.9988,0.3914
77,0.698,0.7064,0.9927,0.99,0.4589,0.6125,0.4518,0.3425,0.3862,0.4318,0.3425,0.9981,0.191,0.5507,0.4535,0.8438,0.5507,0.9935,0.2314,0.4836,0.4728,0.5618,0.4621,0.9989,0.3949
78,0.6979,0.7076,0.9928,0.99,0.4497,0.6071,0.4462,0.3338,0.363,0.4132,0.3338,0.9981,0.1871,0.5486,0.4492,0.818,0.5486,0.9941,0.2382,0.4668,0.444,0.5901,0.456,0.9985,0.3787
79,0.698,0.7071,0.9928,0.9896,0.4534,0.6058,0.4463,0.3263,0.3484,0.4157,0.3263,0.9979,0.1814,0.5509,0.4465,0.8382,0.5509,0.9934,0.2402,0.4831,0.4722,0.5634,0.4616,0.9989,0.3907
80,0.698,0.7079,0.9927,0.9902,0.4527,0.6059,0.4455,0.3242,0.3468,0.4111,0.3242,0.9979,0.1847,0.5555,0.4585,0.8163,0.5555,0.9945,0.2423,0.4783,0.4422,0.5902,0.4568,0.9986,0.3794
81,0.6979,0.7071,0.9927,0.99,0.4496,0.6048,0.446,0.3341,0.3766,0.4114,0.3341,0.9981,0.1863,0.5494,0.4521,0.8144,0.5494,0.994,0.2416,0.4653,0.4433,0.5885,0.4546,0.9986,0.3732
82,0.698,0.7068,0.9927,0.9905,0.4572,0.6091,0.45,0.3214,0.3447,0.4194,0.3214,0.9978,0.1838,0.5673,0.4679,0.8252,0.5673,0.9947,0.2514,0.483,0.453,0.5826,0.4614,0.9988,0.3876
83,0.698,0.7081,0.9928,0.9903,0.4515,0.6081,0.4444,0.3051,0.3267,0.4038,0.3051,0.9974,0.173,0.5732,0.4803,0.8115,0.5732,0.9952,0.2615,0.4763,0.427,0.6091,0.4548,0.9986,0.3773
84,0.698,0.7076,0.9928,0.9905,0.4567,0.6043,0.4496,0.3118,0.3344,0.3999,0.3118,0.9977,0.1788,0.5746,0.4732,0.8366,0.5746,0.9946,0.2615,0.4838,0.4554,0.5765,0.4623,0.999,0.387
